Battery_Capacity_kWh,Range_miles,Weight_kg,Seats,Price
50,200,1500,5,35000
60,250,1700,5,40000
70,300,1800,5,50000
80,350,1900,7,60000
40,150,1400,4,30000
55,220,1600,5,38000
65,280,1750,5,42000
75,320,1850,7,55000
45,180,1450,4,32000
50,200,1600,5,37000
60,240,1650,5,41000
70,290,1700,5,48000
80,330,1900,7,62000
40,160,1400,4,31000
55,210,1550,5,37500
65,270,1700,5,43000
75,310,1800,7,57000
45,170,1400,4,33000
50,210,1600,5,38000
60,260,1650,5,40000
70,280,1750,5,46000
80,340,1900,7,64000
40,180,1450,4,30000
55,230,1600,5,38500
65,250,1700,5,41500
75,300,1800,7,56000
45,160,1400,4,32500
50,190,1600,5,37500
60,270,1700,5,42500
70,310,1800,5,49000
80,360,1900,7,63000
40,150,1450,4,31000
55,220,1600,5,38000
65,240,1700,5,43000
75,280,1800,7,57000
45,180,1450,4,33000
50,210,1600,5,38000
60,250,1650,5,40500
70,320,1750,5,47000
80,330,1900,7,62000
40,160,1400,4,30500
55,200,1600,5,37000
65,260,1700,5,42000
75,300,1800,7,55000
45,170,1450,4,32000
50,200,1600,5,37500
60,270,1700,5,41500
70,310,1750,5,49000
80,340,1900,7,63500